Nr identyfikacyjny księgarni,Nazwa księgarni,Ulica i numer domu,Kod pocztowy,Miasto
1,Birth Think,Serdeczna,20-703,Lublin
2,Rocket Crying,Leszczynowa,70-766,Szczecin
3,Investment Sparks,Galeonowa,60-480,Poznań
4,Servants Saver,Sałatowa,91-143,Łódź
5,Savvy Son,Niemcewicza Juliana Ursyna,15-196,Białystok
6,Change Emerald,Kraszewskiego Józefa,60-518,Poznań
7,Streams Matters,Józefowska,41-219,Sosnowiec
8,Change Thorns,Urodzajna,31-235,Kraków
9,Change Girlfriend,Pankiewicza Józefa,31-999,Kraków
10,Slave Plans,Chabrów,41-700,Ruda Śląska
11,Science Star,Fultona Roberta,80-172,Gdańsk
12,Medi School,Nehringa Władysława,71-814,Szczecin
13,Aqua Roses,Lutego Tura,30-398,Kraków
14,Grand Lord,Instytucja ZPR-Express Sp. z o.o. Al. Jerozolimskie 28,00-939,Warszawa
15,Investment Stream,Dębowa,41-923,Bytom
16,Consumer Fairy,Kanadyjska,54-402,Wrocław
17,Valley Repair,Bokserska,02-682,Warszawa
18,Husband Tiger,Myśliwska,47-403,Racibórz
19,Prophecy Bright,Brata Alberta,41-710,Ruda Śląska
20,Twins Innovation,Gimnazjalna,01-364,Warszawa
21,Wind Ops,Kazimierza Wielkiego,02-249,Warszawa
22,Weeping Foundation,Energetyki,41-923,Bytom
23,Magic Platform,Kalksztajnów,81-207,Gdynia
24,Tale Traders,Beskidzka,41-500,Chorzów
25,Voyagers Comm.,Przybyszewskiego Stanisława,60-356,Poznań
26,Game Kick,Generała Roweckiego Stefana Grota,52-218,Wrocław
27,Girl Send,Pl. Katyński,15-279,Białystok
28,Steel Flight,Hiacyntowa,11-041,Olsztyn
29,Rings Sphere,Stawowa,42-500,Będzin
30,Town End,Skrytki Pocztowe Poczta Toruń 017 Łyskowskiego 18,87-116,Toruń
31,Focus Luck,Szklana,41-300,Dąbrowa Górnicza
32,Peace Blade,Bociania,65-505,Zielona Góra
33,Illusion Drop,Wiślana,40-219,Katowice
34,Planet Options,Goździkowa,65-012,Zielona Góra
35,Pod Way,Czereśniowa,43-190,Mikołów
36,Silence Safety,Poczta Lniano,86-141,Lniano
37,Mountain Sex,Strzałkowskiego Bzymka Edwarda,30-138,Kraków
38,Savior Planner,Lutomierska,91-041,Łódź
39,Capital Slaves,Poczta Susz Słowiańska 24,14-240,Susz
40,Craft Night,Asnyka Adama,43-600,Jaworzno
