00-465,29 Listopada,Warszawa,Mazowieckie,
00-910,Admiralska,Warszawa,Mazowieckie,
00-460,Agrykola,Warszawa,Mazowieckie,
00-147,Al. Genera≥a Andersa W≥adys≥awa,Warszawa,Mazowieckie,od 1 do 5
00-159,Al. Genera≥a Andersa W≥adys≥awa,Warszawa,Mazowieckie,od 7 do ostatniego
00-201,Al. Genera≥a Andersa W≥adys≥awa,Warszawa,Mazowieckie,od 6 do 28
00-210,Al. Genera≥a Andersa W≥adys≥awa,Warszawa,Mazowieckie,od 30 do ostatniego
00-116,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 18 do 18
00-117,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 2 do 10
00-124,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 12 do 16
00-133,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 20 do 26
00-135,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 28 do 30
00-141,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 32 do 42
00-145,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 44 do 44
00-148,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 46 do 50
00-152,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 52 do 54
00-156,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 56 do 58
00-166,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 60 do 62
00-170,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 64 do 68
00-175,Al. Jana Paw≥a II,Warszawa,Mazowieckie,od 70 do ostatniego
00-090,Al. Solidarnoúci,Warszawa,Mazowieckie,od 71 do 79
00-140,Al. Solidarnoúci,Warszawa,Mazowieckie,od 103 do 117
00-144,Al. Solidarnoúci,Warszawa,Mazowieckie,od 81 do 101
00-145,Al. Solidarnoúci,Warszawa,Mazowieckie,od 72 do 82
00-381,Al. 3 Maja,Warszawa,Mazowieckie,od 14 do ostatniego
00-391,Al. 3 Maja,Warszawa,Mazowieckie,od 2 do 12
00-401,Al. 3 Maja,Warszawa,Mazowieckie,od 1 do ostatniego
00-571,Al. Armii Ludowej,Warszawa,Mazowieckie,od 2 do 8
00-575,Al. Armii Ludowej,Warszawa,Mazowieckie,od 1 do 11
00-605,Al. Armii Ludowej,Warszawa,Mazowieckie,od 29 do ostatniego
00-609,Al. Armii Ludowej,Warszawa,Mazowieckie,od 24 do ostatniego
00-632,Al. Armii Ludowej,Warszawa,Mazowieckie,od 13 do 17
00-637,Al. Armii Ludowej,Warszawa,Mazowieckie,od 16 do 22 od 19 do 27
00-638,Al. Armii Ludowej,Warszawa,Mazowieckie,od 10 do 14
